00AI               20231227                                                                                   
0601AIA0N       20240101004300100000100000 0000000000002126   
0601AIA0N       20240101004400100000100000 0000000000002133   
0601AIA0N       20240101004500100000100000 0000000000002140   
0601AIA0N       20240101004600100000100000 0000000000002147   
0601AIA0N       20240101004700100000100000 0000000000002154   
0601AIA0N       20240101004800100000100000 0000000000002160   
0601AIA0N       20240101004900100000100000 0000000000002166   
0601AIA0N       20240101005000100000100000 0000000000002172   
0601AIA0N       20240101005100100000100000 0000000000002177   
0601AIA0N       20240101005200100000100000 0000000000002182   
0601AIA0N       20240101005300100000100000 0000000000002187   
0601AIA0N       20240101005400100000100000 0000000000002192   
0601AIA0N       20240101005500100000100000 0000000000002197   
0601AIA0N       20240101005600100000100000 0000000000002202   
0601AIA0N       20240101005700100000100000 0000000000002206   
0601AIA0N       20240101005800100000100000 0000000000002210   
0601AIA0N       20240101005900100000100000 0000000000002215   
0601AIA0N       20240101006000100000100000 0000000000002218   
0601AIA0N       20240101006100100000100000 0000000000002222   
0601AIA0N       20240101006200100000100000 0000000000002226   
0601AIA0N       20240101006300100000100000 0000000000002230   
0601AIA0N       20240101006400100000100000 0000000000002233   
0601AIA0N       20240101006500100000100000 0000000000002237   
0601AIA0N       20240101006600100000100000 0000000000002240   
0601AIA0N       20240101006700100000100000 0000000000002243   
0601AIA0N       20240101006800100000100000 0000000000002246   
0601AIA0N       20240101006900100000100000 0000000000002249   
0601AIA0N       20240101007000100000100000 0000000000002252   
0601AIA0N       20240101007100100000100000 0000000000002255   
0601AIA0N       20240101007200100000100000 0000000000002258   
0601AIA0N       20240101007300100000100000 0000000000002260   
0601AIA0N       20240101007400100000100000 0000000000002263   
0601AIA0N       20240101007500100000100000 0000000000002264   
0601AIA0N       20240101007600100000100000 0000000000002265   
0601AIA0N       20240101007700100000100000 0000000000002265   
0601AIA0N       20240101007800100000100000 0000000000002266   
0601AIA0N       20240101007900100000100000 0000000000002266   
0601AIA0N       20240101008000100000100000 0000000000002267   
0601AIA0N       20240101008100100000100000 0000000000002267   
0601AIA0N       20240101008200100000100000 0000000000002268   
0601AIA0N       20240101008300100000100000 0000000000002268   
0601AIA0N       20240101008400100000100000 0000000000002269   
0601AIA0N       20240101008500100000100000 0000000000002269   
