00GL               20231116                                                                                   
0601GLA0N       20240101002660100000005000 0000000104002252   
0601GLA0N       20240101002665100000005000 0000000104002255   
0601GLA0N       20240101002670100000005000 0000000104002256   
0601GLA0N       20240101002675100000005000 0000000104002257   
0601GLA0N       20240101002680100000005000 0000000104002260   
0601GLA0N       20240101002685100000005000 0000000104002261   
0601GLA0N       20240101002690100000005000 0000000104002263   
0601GLA0N       20240101002695100000005000 0000000104002265   
0601GLA0N       20240101002700100000005000 0000000104002266   
0601GLA0N       20240101002705100000005000 0000000104002268   
0601GLA0N       20240101002710100000005000 0000000104002270   
0601GLA0N       20240101002715100000005000 0000000104002272   
0601GLA0N       20240101002720100000005000 0000000104002273   
0601GLA0N       20240101002725100000005000 0000000104002275   
0601GLA0N       20240101002730100000005000 0000000104002277   
0601GLA0N       20240101002735100000005000 0000000104002278   
0601GLA0N       20240101002740100000005000 0000000104002279   
0601GLA0N       20240101002745100000005000 0000000104002282   
0601GLA0N       20240101002750100000005000 0000000104002283   
0601GLA0N       20240101002755100000005000 0000000104002284   
0601GLA0N       20240101002760100000005000 0000000104002287   
0601GLA0N       20240101002765100000005000 0000000104002288   
0601GLA0N       20240101002770100000005000 0000000104002289   
0601GLA0N       20240101002775100000005000 0000000104002292   
0601GLA0N       20240101002780100000005000 0000000104002293   
0601GLA0N       20240101002785100000005000 0000000104002294   
