00GE               20231025                                                                                   
0601GEA0N       20240101002715000000010000 0000000000002890   
0601GEA0N       20240101002725000000010000 0000000000002893   
0601GEA0N       20240101002735000000010000 0000000000002897   
0601GEA0N       20240101002745000000010000 0000000000002901   
0601GEA0N       20240101002755000000010000 0000000000002904   
0601GEA0N       20240101002765000000010000 0000000000002908   
0601GEA0N       20240101002775000000010000 0000000000002911   
0601GEA0N       20240101002785000000010000 0000000000002915   
0601GEA0N       20240101002795000000010000 0000000000002918   
0601GEA0N       20240101002805000000010000 0000000000002921   
0601GEA0N       20240101002815000000010000 0000000000002925   
0601GEA0N       20240101002825000000010000 0000000000002928   
0601GEA0N       20240101002835000000010000 0000000000002932   
0601GEA0N       20240101002845000000010000 0000000000002935   
0601GEA0N       20240101002855000000010000 0000000000002938   
0601GEA0N       20240101002865000000010000 0000000000002942   
0601GEA0N       20240101002875000000010000 0000000000002946   
0601GEA0N       20240101002885000000010000 0000000000002949   
0601GEA0N       20240101002895000000010000 0000000000002953   
0601GEA0N       20240101002905000000010000 0000000000002956   
0601GEA0N       20240101002915000000010000 0000000000002959   
0601GEA0N       20240101002925000000010000 0000000000002963   
0601GEA0N       20240101002935000000010000 0000000000002966   
0601GEA0N       20240101002945000000010000 0000000000002970   
0601GEA0N       20240101002955000000010000 0000000000002973   
0601GEA0N       20240101002965000000010000 0000000000002976   
0601GEA0N       20240101002975000000010000 0000000000002980   
0601GEA0N       20240101002985000000010000 0000000000002983   
0601GEA0N       20240101002995000000010000 0000000000002986   
0601GEA0N       20240101003005000000010000 0000000000002989   
0601GEA0N       20240101003015000000010000 0000000000002992   
0601GEA0N       20240101003025000000010000 0000000000002996   
0601GEA0N       20240101003035000000010000 0000000000002999   
0601GEA0N       20240101003045000000010000 0000000000003002   
0601GEA0N       20240101003055000000010000 0000000000003005   
0601GEA0N       20240101003065000000010000 0000000000003008   
0601GEA0N       20240101003075000000010000 0000000000003011   
0601GEA0N       20240101003085000000010000 0000000000003014   
0601GEA0N       20240101003095000000010000 0000000000003017   
0601GEA0N       20240101003105000000010000 0000000000003020   
0601GEA0N       20240101003115000000010000 0000000000003023   
0601GEA0N       20240101003125000000010000 0000000000003026   
0601GEA0N       20240101003135000000010000 0000000000003029   
0601GEA0N       20240101003145000000010000 0000000000003032   
0601GEA0N       20240101003155000000010000 0000000000003035   
0601GEA0N       20240101003165000000010000 0000000000003038   
0601GEA0N       20240101003175000000010000 0000000000003041   
0601GEA0N       20240101003185000000010000 0000000000003044   
0601GEA0N       20240101003195000000010000 0000000000003047   
0601GEA0N       20240101003205000000010000 0000000000003050   
0601GEA0N       20240101003215000000010000 0000000000003052   
0601GEA0N       20240101003225000000010000 0000000000003055   
0601GEA0N       20240101003235000000010000 0000000000003058   
0601GEA0N       20240101003245000000010000 0000000000003061   
0601GEA0N       20240101003255000000010000 0000000000003063   
0601GEA0N       20240101003265000000010000 0000000000003066   
0601GEA0N       20240101003275000000010000 0000000000003069   
0601GEA0N       20240101003285000000010000 0000000000003072   
0601GEA0N       20240101003295000000010000 0000000000003074   
0601GEA0N       20240101003305000000010000 0000000000003077   
0601GEA0N       20240101003315000000010000 0000000000003080   
0601GEA0N       20240101003325000000010000 0000000000003082   
0601GEA0N       20240101003335000000010000 0000000000003085   
0601GEA0N       20240101003345000000010000 0000000000003088   
0601GEA0N       20240101003355000000010000 0000000000003090   
0601GEA0N       20240101003365000000010000 0000000000003093   
